"Fertigungslinie","Vorgangsfolge","Anzahl"
"0002","0010 -> 0020",11
"001","0010",336
"001","0010 -> 0020",23
"001","0010 -> 0020 -> 0030 -> 0040",2
"001","0010 -> 0020 -> 0030",1
"002","0010",26
"002","0010 -> 0020",19
"01","0010 -> 0020",38
"02","0010 -> 0020 -> 0030",17
"02","0010 -> 0020",13
"1","0010",22764
"1","0010 -> 0020",13940
"1","0010 -> 0020 -> 0030",2250
"1","0010 -> 0020 -> 0030 -> 0040",306
"1","0010 -> 0020 -> 0030 -> 0040 -> 0050",78
"1","0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",27
"1","0020",15
"1","0030",9
"1","0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060 -> 0070",8
"1","0010 -> 0030",5
"1","0020 -> 0030",4
"1","0005 -> 0010 -> 0020",2
"1","0010 -> 0020 -> 0040",1
"1","0040",1
"10","0010",139
"10","0010 -> 0020",94
"10","0010 -> 0020 -> 0030",70
"11","0010 -> 0020 -> 0030",6
"11","0010 -> 0020",5
"2","0010",4580
"2","0010 -> 0020",2458
"2","0010 -> 0020 -> 0030",507
"2","0010 -> 0020 -> 0030 -> 0040",26
"2","0010 -> 0020 -> 0030 -> 0040 -> 0050",4
"2","0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",2
"2","0020 -> 0030 -> 0040",2
"2","0020",1
"3","0010",2309
"3","0010 -> 0020",1525
"3","0010 -> 0020 -> 0030",201
"3","0010 -> 0020 -> 0030 -> 0040",19
"3","0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",10
"3","0020 -> 0032",1
"4","0010",1354
"4","0010 -> 0020",811
"4","0010 -> 0020 -> 0030",94
"4","0010 -> 0020 -> 0030 -> 0040",2
"5","0010",827
"5","0010 -> 0020",429
"5","0010 -> 0020 -> 0030",67
"6","0010",612
"6","0010 -> 0020 -> 0030",139
"6","0010 -> 0020",102
"7","0010",165
"7","0010 -> 0020 -> 0030",130
"8","0010",191
"8","0010 -> 0020 -> 0030",15
"9","0010 -> 0020 -> 0030",88
"9","0010",46
"9","0010 -> 0020",10
