"Materialnummer","Vorgangsfolge","Anzahl"
1,"0010",4
2,"0010",4
3,"0010",2
4,"0010",4
5,"0010",4
6,"0010",3
7,"0010",1
8,"0010",2
9,"0010 -> 0020",12
10,"0010 -> 0020",8
11,"0010 -> 0020",1
12,"0010 -> 0020",1
13,"0010 -> 0020",1
14,"0010 -> 0020",1
15,"0010",2
16,"0010",2
17,"0010",2
18,"0010",11
19,"0010",9
20,"0010",6
21,"0010",10
22,"0010",4
23,"0010",30
24,"0010",14
25,"0010",16
26,"0010",7
27,"0010",7
28,"0010",1
29,"0010",1
30,"0010",1
31,"0010",1
32,"0010",1
33,"0010",2
34,"0010",2
35,"0010",1
36,"0010",2
37,"0010",2
38,"0010",2
39,"0010",7
40,"0010",1
41,"0010",4
42,"0010",2
43,"0010",11
44,"0010",9
45,"0010",8
46,"0010",1
47,"0010",11
48,"0010",1
49,"0010",9
50,"0010",5
51,"0010",8
52,"0010",6
53,"0010",5
54,"0010",1
55,"0010",1
56,"0010",8
57,"0010",4
58,"0010",3
59,"0010",1
60,"0010",6
61,"0010",3
62,"0010",1
63,"0010",4
64,"0010",8
65,"0010",1
66,"0010",6
67,"0010",2
68,"0010",2
69,"0010",3
70,"0010",2
71,"0010",1
72,"0010",1
73,"0010",2
74,"0010",3
75,"0010",2
76,"0010",10
77,"0010",21
78,"0010",1
79,"0010",1
80,"0010",1
81,"0010",2
82,"0010",2
83,"0010",1
84,"0010",6
85,"0010",9
86,"0010",34
87,"0010",3
88,"0010 -> 0020",8
88,"0010",2
89,"0010",4
90,"0010 -> 0020",11
90,"0010",5
91,"0010 -> 0020",4
91,"0010",1
92,"0010",31
93,"0010 -> 0020",9
93,"0010",3
94,"0010 -> 0020 -> 0030",24
94,"0010",12
95,"0010",1
95,"0010 -> 0020 -> 0030",1
96,"0010",5
97,"0010",1
98,"0010",1
99,"0010",3
100,"0010",1
101,"0010",1
102,"0010",1
103,"0010",1
104,"0010",12
105,"0010",4
106,"0010",2
107,"0010",3
108,"0010",1
109,"0010",4
110,"0010",8
111,"0010",1
112,"0010",2
113,"0010",3
114,"0010",3
115,"0010",2
116,"0010",2
117,"0010",2
118,"0010",3
119,"0010",2
120,"0010",3
121,"0010",2
122,"0010",2
123,"0010",1
124,"0010",5
125,"0010",3
126,"0010",5
127,"0010",1
128,"0010",2
129,"0010",1
130,"0010",1
131,"0010",1
132,"0010",2
133,"0010",1
134,"0010",7
135,"0010",7
136,"0010",2
137,"0010",3
138,"0010",12
139,"0010",8
140,"0010",2
141,"0010",62
142,"0010",1
143,"0010",2
144,"0010",2
145,"0010",3
146,"0010",4
147,"0010",3
148,"0010",3
149,"0010",1
150,"0010",2
151,"0010",3
152,"0010",2
153,"0010",4
154,"0010",3
155,"0010",3
156,"0010",3
157,"0010",5
158,"0010",3
159,"0010",6
160,"0010",2
161,"0010",2
162,"0010",10
163,"0010",3
164,"0010",12
165,"0010",8
166,"0010",1
167,"0010",3
168,"0010",2
169,"0010",2
170,"0010",1
171,"0010",1
172,"0010",8
173,"0010",1
174,"0010",7
175,"0010",6
176,"0010",1
177,"0010",5
178,"0010",3
179,"0010",1
180,"0010",6
181,"0010",8
182,"0010",9
183,"0010",1
184,"0010",1
185,"0010",1
186,"0010",1
187,"0010",1
188,"0010",1
189,"0010",1
190,"0010",2
191,"0010",2
192,"0010",3
193,"0010",2
194,"0010",4
195,"0010",2
196,"0010",1
197,"0010",3
198,"0010",2
199,"0010",14
200,"0010",4
201,"0010",5
202,"0010",2
203,"0010",3
204,"0010",2
205,"0010",1
206,"0010",3
207,"0010",1
208,"0010",1
209,"0010",2
210,"0010",2
211,"0010",5
212,"0010",4
213,"0010",1
214,"0010",4
215,"0010",3
216,"0010",5
217,"0010",7
218,"0010",12
219,"0010",1
220,"0010",3
221,"0010",5
222,"0010",11
222,"0010 -> 0020",1
223,"0010 -> 0020",2
224,"0010 -> 0020",8
225,"0010",29
226,"0010",15
227,"0010",9
228,"0010",10
229,"0010",14
230,"0010",11
231,"0010",15
232,"0010",17
233,"0010",4
234,"0010",3
235,"0010",6
236,"0010",4
237,"0010",5
238,"0010",2
239,"0010",8
240,"0010",2
241,"0010",5
242,"0010 -> 0020",105
242,"0010",47
243,"0010",2
244,"0010",10
245,"0010",32
246,"0010",6
247,"0010",2
248,"0010",9
249,"0010",8
250,"0010",36
251,"0010",5
252,"0010",1
253,"0010",6
254,"0010",24
255,"0010",1
256,"0010",1
257,"0010",2
258,"0010",13
259,"0010",3
260,"0010",1
261,"0010",3
262,"0010",5
263,"0010",1
264,"0010",1
265,"0010",1
266,"0010",3
267,"0010",2
268,"0010",3
269,"0010",2
270,"0010",2
271,"0010",2
272,"0010",3
273,"0010 -> 0020",18
274,"0010 -> 0020",3
275,"0010 -> 0020",6
276,"0010 -> 0020",22
277,"0010 -> 0020",18
277,"0010",1
278,"0010 -> 0020",8
279,"0010 -> 0020",25
280,"0010 -> 0020 -> 0030",7
281,"0010 -> 0020 -> 0030",4
282,"0010 -> 0020 -> 0030",5
282,"0010 -> 0030",1
283,"0010 -> 0020 -> 0030",5
283,"0010 -> 0030",1
284,"0010 -> 0020 -> 0030",19
285,"0010",19
286,"0010",12
287,"0010",5
288,"0010",6
289,"0010",11
290,"0010",24
291,"0010",1
292,"0010",1
293,"0010 -> 0020",17
294,"0010 -> 0020",5
295,"0010 -> 0020",6
296,"0010 -> 0020",21
297,"0010 -> 0020",19
298,"0010 -> 0020",10
299,"0010 -> 0020",24
300,"0010 -> 0020",7
301,"0010 -> 0020",4
302,"0010 -> 0020",6
303,"0010",72
304,"0010",10
305,"0010",16
306,"0010",54
307,"0010",6
308,"0010",31
309,"0010",6
310,"0010 -> 0020",1
311,"0010 -> 0020",6
312,"0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060 -> 0070",6
313,"0010 -> 0020 -> 0030",2
314,"0010 -> 0020 -> 0030",2
315,"0010 -> 0020 -> 0030",3
316,"0010 -> 0020 -> 0030 -> 0040",3
